Serial Number,Comment,Author
192,Rrts update sir,@khushibhatia8553
193,Our cities are so unorganised. Jisko jaha marzi waha apna ghar banaya h..but when I see European cities👌👌,@ankitsingh0941
194,"Rajauli -bakhtiyarpur four lane ,🎉 simaria ghat,Rajgir sports stadium ka v update de🎉",@SvStudypoint-ht8hp
195,Sir pmch ko v dikhaye jo naya construction 🏗️ ho rha h,@SvStudypoint-ht8hp
196,"Thanks for coming to bihar bhai......bhai kachidargha bidupur bridge , patna marine drive , new gandhi sethu update please bhai..",@VijayKumar-so1wx
197,City looks so dirty and unplanned,@randomnerd4444
198,Bhai ji delhi metro ki bhi update dedo boht time hogya h pink ot magenta line ki,@thestranger9247
199,Aapka samjhane ka tarika 1 no. hai sir,@kingofadventures1122
200,rewa airport plzzzz,@Krishna-zm7yx
201,Superb amazing update of patna metro,@kingofadventures1122
202,Why Patna is looking so underdeveloped?  What could be the reason?,@saksham2525
203,Welcome to the Bihar 🎉,@SurajKumar-mr3ur
204,"Bhaiya ho sake to rrts ka ek aur update jald kardo Modinagar wale section per,sunne me aa rha hai Modinagar North tak inaugurate karne ka plan h 10 March tak.",@anandtyagi248
205,"Recently PMCH new building is inaugurated, I think you forgot to mention.",@kamaladitya52
206,A great video for that information get soon metro in a Indian city and very happy to all area connected infrastructure boom for thanks you Rajan Sir,@Aryan786z
207,Begusarai construction ka pariyojna ka aur Mokama pariyojna ka,@riteshkumar-pi6mv
208,EDFC ka apdet do bhai 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🇮🇳🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,@mastinews4687
209,i am from patna.. this drone view is amazing 😍,@mathurrk.
210,Thanks for sharing ❤,@shresthkumar1499
211,I know u have a busy schedule. But there are 7 underground metro station under construction in only red line. Blue line start soon.,@indrajeetkumar0136
212,"You skip the more underground metro station like Patna university metro station, moin ul haq and pmch. And also you should know that , first tbm launched in moin ul stadium metro station.",@indrajeetkumar0136
213,❤❤,@vishaldrives6432
214,"Bhai,😮 Bihar Mausam  Aur Patna taramandal jarur dekh ke jana bahut achha bana ha❤❤❤",@PradeepKumar-ke1sr
215,"Valmikinagar, bihar mein valmiki sabhagar bn rha hai 95% kaam ho chuka hai…please uspe video bnaiye",@RakeshKumar-wr9ij
216,Thanks to visit my town... Again to coverage of कंस्ट्रक्शन वर्क of patna metro....,@DharmendraKumar-mt8xn
217,Sir plese Nath corridor bareilly ka update do plese,@BrainBox270
218,Bagmpul rrts station or meerut metro ka update do,@Middle_boy345
219,Rajendra nagar junction nhi Terminal hai bhai 😂😂😂,@himanshuraj291
220,Kuch kaam hi ni hua😂,@Manan.0203
221,आप का सभी विडियो देखता हूं अच्छा लगा ❤,@maheshdubey8715
222,Pls show rrts Delhi update,@abhinavisgod8975
223,Finally bihar get metro <br><br>And also you are the best person,@botplayed163
224,Thanks for updating Bihar metro project ❤,@Mahi_mar_rha_hai_07
225,Bhaiya meerut side begum pull ka bhi bata do,@princesaini3204
226,Thanks for updating our bihar ❤❤,@pranavraj9914
227,First viewer this video 😊😊,@princesaini3204
228,Best update bhi,@botplayed163
229,First,@aromal.a.p7647
